region,fips,population
United States,0,328239523
Mississippi,28,2976149
Missouri,29,6137428
Montana,30,1068778
Nebraska,31,1934408
Nevada,32,3080156
New Hampshire,33,1359711
New Jersey,34,8882190
New Mexico,35,2096829
New York,36,19453561
North Carolina,37,10488084
North Dakota,38,762062
Ohio,39,11689100
Oklahoma,40,3956971
Oregon,41,4217737
Pennsylvania,42,12801989
Rhode Island,44,1059361
South Carolina,45,5148714
South Dakota,46,884659
Tennessee,47,6829174
Texas,48,28995881
Vermont,50,623989
Utah,49,3205958
Virginia,51,8535519
Washington,53,7614893
West Virginia,54,1792147
Wisconsin,55,5822434
Wyoming,56,578759
Puerto Rico,72,3193694
Alabama,1,4903185
Alaska,2,731545
Arizona,4,7278717
Arkansas,5,3017804
California,6,39512223
Colorado,8,5758736
Delaware,10,973764
District of Columbia,11,705749
Connecticut,9,3565287
Florida,12,21477737
Georgia,13,10617423
Idaho,16,1787065
Hawaii,15,1415872
Illinois,17,12671821
Indiana,18,6732219
Iowa,19,3155070
Kansas,20,2913314
Kentucky,21,4467673
Louisiana,22,4648794
Maine,23,1344212
Maryland,24,6045680
Massachusetts,25,6892503
Michigan,26,9986857
Minnesota,27,5639632
Autauga County,1001,55869
Baldwin County,1003,223234
Barbour County,1005,24686
Bibb County,1007,22394
Blount County,1009,57826
Bullock County,1011,10101
Butler County,1013,19448
Calhoun County,1015,113605
Chambers County,1017,33254
Cherokee County,1019,26196
Chilton County,1021,44428
Choctaw County,1023,12589
Clarke County,1025,23622
Clay County,1027,13235
Cleburne County,1029,14910
Coffee County,1031,52342
Colbert County,1033,55241
Conecuh County,1035,12067
Coosa County,1037,10663
Covington County,1039,37049
Crenshaw County,1041,13772
Cullman County,1043,83768
Dale County,1045,49172
Dallas County,1047,37196
DeKalb County,1049,71513
Elmore County,1051,81209
Escambia County,1053,36633
Etowah County,1055,102268
Fayette County,1057,16302
Franklin County,1059,31362
Geneva County,1061,26271
Greene County,1063,8111
Hale County,1065,14651
Henry County,1067,17205
Houston County,1069,105882
Jackson County,1071,51626
Jefferson County,1073,658573
Lamar County,1075,13805
Lauderdale County,1077,92729
Lawrence County,1079,32924
Lee County,1081,164542
Limestone County,1083,98915
Lowndes County,1085,9726
Macon County,1087,18068
Madison County,1089,372909
Marengo County,1091,18863
Marion County,1093,29709
Marshall County,1095,96774
Mobile County,1097,413210
Monroe County,1099,20733
Montgomery County,1101,226486
Morgan County,1103,119679
Perry County,1105,8923
Pickens County,1107,19930
Pike County,1109,33114
Randolph County,1111,22722
Russell County,1113,57961
St. Clair County,1115,89512
Shelby County,1117,217702
Sumter County,1119,12427
Talladega County,1121,79978
Tallapoosa County,1123,40367
Tuscaloosa County,1125,209355
Walker County,1127,63521
Washington County,1129,16326
Wilcox County,1131,10373
Winston County,1133,23629
Aleutians East Borough,2013,3337
Aleutians West Census Area,2016,5634
Anchorage Municipality,2020,288000
Bethel Census Area,2050,18386
Bristol Bay Borough,2060,836
Denali Borough,2068,2097
Dillingham Census Area,2070,4916
Fairbanks North Star Borough,2090,96849
Haines Borough,2100,2530
Hoonah-Angoon Census Area,2105,2148
Juneau City and Borough,2110,31974
Kenai Peninsula Borough,2122,58708
Ketchikan Gateway Borough,2130,13901
Kodiak Island Borough,2150,12998
Kusilvak Census Area,2158,8314
Lake and Peninsula Borough,2164,1592
Matanuska-Susitna Borough,2170,108317
Nome Census Area,2180,10004
North Slope Borough,2185,9832
Northwest Arctic Borough,2188,7621
Petersburg Borough,2195,3266
Prince of Wales-Hyder Census Area,2198,6203
Sitka City and Borough,2220,8493
Skagway Municipality,2230,1183
Southeast Fairbanks Census Area,2240,6893
Valdez-Cordova Census Area,2261,9202
Wrangell City and Borough,2275,2502
Yakutat City and Borough,2282,579
Yukon-Koyukuk Census Area,2290,5230
Apache County,4001,71887
Cochise County,4003,125922
Coconino County,4005,143476
Gila County,4007,54018
Graham County,4009,38837
Greenlee County,4011,9498
La Paz County,4012,21108
Maricopa County,4013,4485414
Mohave County,4015,212181
Navajo County,4017,110924
Pima County,4019,1047279
Pinal County,4021,462789
Santa Cruz County,4023,46498
Yavapai County,4025,235099
Yuma County,4027,213787
Arkansas County,5001,17486
Ashley County,5003,19657
Baxter County,5005,41932
Benton County,5007,279141
Boone County,5009,37432
Bradley County,5011,10763
Calhoun County,5013,5189
Carroll County,5015,28380
Chicot County,5017,10118
Clark County,5019,22320
Clay County,5021,14551
Cleburne County,5023,24919
Cleveland County,5025,7956
Columbia County,5027,23457
Conway County,5029,20846
Craighead County,5031,110332
Crawford County,5033,63257
Crittenden County,5035,47955
Cross County,5037,16419
Dallas County,5039,7009
Desha County,5041,11361
Drew County,5043,18219
Faulkner County,5045,126007
Franklin County,5047,17715
Fulton County,5049,12477
Garland County,5051,99386
Grant County,5053,18265
Greene County,5055,45325
Hempstead County,5057,21532
Hot Spring County,5059,33771
Howard County,5061,13202
Independence County,5063,37825
Izard County,5065,13629
Jackson County,5067,16719
Jefferson County,5069,66824
Johnson County,5071,26578
Lafayette County,5073,6624
Lawrence County,5075,16406
Lee County,5077,8857
Lincoln County,5079,13024
Little River County,5081,12259
Logan County,5083,21466
Lonoke County,5085,73309
Madison County,5087,16576
Marion County,5089,16694
Miller County,5091,43257
Mississippi County,5093,40651
Monroe County,5095,6701
Montgomery County,5097,8986
Nevada County,5099,8252
Newton County,5101,7753
Ouachita County,5103,23382
Perry County,5105,10455
Phillips County,5107,17782
Pike County,5109,10718
Poinsett County,5111,23528
Polk County,5113,19964
Pope County,5115,64072
Prairie County,5117,8062
Pulaski County,5119,391911
Randolph County,5121,17958
St. Francis County,5123,24994
Saline County,5125,122437
